	#	BMI	DM Status	Gender	Age category	Smoking status	SBP Category	Cholesterol category	Combination ID	CVD risk %	Priority
Male-NLAB	1	1	x	1	1	1	1	x	1x111x1	26	0
Male-NLAB	2	2	x	1	1	1	1	x	2x111x1	28	0
Male-NLAB	3	3	x	1	1	1	1	x	3x111x1	30	0
Male-NLAB	4	4	x	1	1	1	1	x	4x111x1	32	0
Male-NLAB	5	5	x	1	1	1	1	x	5x1111x	34	0
Male-NLAB	6	1	x	1	1	1	2	x	1x1112x	21	0
Male-NLAB	7	2	x	1	1	1	2	x	2x1112x	23	0
Male-NLAB	8	3	x	1	1	1	2	x	3x1112x	25	0
Male-NLAB	9	4	x	1	1	1	2	x	4x1112x	26	0
Male-NLAB	10	5	x	1	1	1	2	x	5x1112x	28	0
Male-NLAB	11	1	x	1	1	1	3	x	1x1113x	17	0
Male-NLAB	12	2	x	1	1	1	3	x	2x1113x	19	0
Male-NLAB	13	3	x	1	1	1	3	x	3x1113x	20	0
Male-NLAB	14	4	x	1	1	1	3	x	4x1113x	21	0
Male-NLAB	15	5	x	1	1	1	3	x	5x1113x	23	0
Male-NLAB	16	1	x	1	1	1	4	x	1x1114x	14	0
Male-NLAB	17	2	x	1	1	1	4	x	2x1114x	15	0
Male-NLAB	18	3	x	1	1	1	4	x	3x1114x	16	0
Male-NLAB	19	4	x	1	1	1	4	x	4x1114x	17	0
Male-NLAB	20	5	x	1	1	1	4	x	5x1114x	18	0
Male-NLAB	21	1	x	1	1	1	5	x	1x1115x	11	0
Male-NLAB	22	2	x	1	1	1	5	x	2x1115x	12	0
Male-NLAB	23	3	x	1	1	1	5	x	3x1115x	13	0
Male-NLAB	24	4	x	1	1	1	5	x	4x1115x	14	0
Male-NLAB	25	5	x	1	1	1	5	x	5x1115x	15	0
Male-NLAB	26	1	x	1	1	0	1	x	1x1101x	34	0
Male-NLAB	27	2	x	1	1	0	1	x	2x1101x	36	0
Male-NLAB	28	3	x	1	1	0	1	x	3x1101x	39	0
Male-NLAB	29	4	x	1	1	0	1	x	4x1101x	41	0
Male-NLAB	30	5	x	1	1	0	1	x	5x1101x	44	0
Male-NLAB	31	1	x	1	1	0	2	x	1x1102x	28	0
Male-NLAB	32	2	x	1	1	0	2	x	2x1102x	30	0
Male-NLAB	33	3	x	1	1	0	2	x	3x1102x	32	0
Male-NLAB	34	4	x	1	1	0	2	x	4x1102x	34	0
Male-NLAB	35	5	x	1	1	0	2	x	5x1102x	36	0
Male-NLAB	36	1	x	1	1	0	3	x	1x1103x	23	0
Male-NLAB	37	2	x	1	1	0	3	x	2x1103x	24	0
Male-NLAB	38	3	x	1	1	0	3	x	3x1103x	26	0
Male-NLAB	39	4	x	1	1	0	3	x	4x1103x	28	0
Male-NLAB	40	5	x	1	1	0	3	x	5x1103x	30	0
Male-NLAB	41	1	x	1	1	0	4	x	1x1104x	18	0
Male-NLAB	42	2	x	1	1	0	4	x	2x1104x	20	0
Male-NLAB	43	3	x	1	1	0	4	x	3x1104x	21	0
Male-NLAB	44	4	x	1	1	0	4	x	4x1104x	23	0
Male-NLAB	45	5	x	1	1	0	4	x	5x1104x	24	0
Male-NLAB	46	1	x	1	1	0	5	x	1x1105x	15	0
Male-NLAB	47	2	x	1	1	0	5	x	2x1105x	16	0
Male-NLAB	48	3	x	1	1	0	5	x	3x1105x	17	0
Male-NLAB	49	4	x	1	1	0	5	x	4x1105x	18	0
Male-NLAB	50	5	x	1	1	0	5	x	5x1105x	20	0
Male-NLAB	51	1	x	1	2	1	1	x	1x1211x	20	0
Male-NLAB	52	2	x	1	2	1	1	x	2x1211x	22	0
Male-NLAB	53	3	x	1	2	1	1	x	3x1211x	24	0
Male-NLAB	54	4	x	1	2	1	1	x	4x1211x	26	0
Male-NLAB	55	5	x	1	2	1	1	x	5x1211x	28	0
Male-NLAB	56	1	x	1	2	1	2	x	1x1212x	16	0
Male-NLAB	57	2	x	1	2	1	2	x	2x1212x	17	0
Male-NLAB	58	3	x	1	2	1	2	x	3x1212x	19	0
Male-NLAB	59	4	x	1	2	1	2	x	4x1212x	21	0
Male-NLAB	60	5	x	1	2	1	2	x	5x1212x	22	0
Male-NLAB	61	1	x	1	2	1	3	x	1x1213x	12	0
Male-NLAB	62	2	x	1	2	1	3	x	2x1213x	14	0
Male-NLAB	63	3	x	1	2	1	3	x	3x1213x	15	0
Male-NLAB	64	4	x	1	2	1	3	x	4x1213x	16	0
Male-NLAB	65	5	x	1	2	1	3	x	5x1213x	18	0
Male-NLAB	66	1	x	1	2	1	4	x	1x1214x	10	0
Male-NLAB	67	2	x	1	2	1	4	x	2x1214x	11	0
Male-NLAB	68	3	x	1	2	1	4	x	3x1214x	12	0
Male-NLAB	69	4	x	1	2	1	4	x	4x1214x	13	0
Male-NLAB	70	5	x	1	2	1	4	x	5x1214x	14	0
Male-NLAB	71	1	x	1	2	1	5	x	1x1215x	8	0
Male-NLAB	72	2	x	1	2	1	5	x	2x1215x	8	0
Male-NLAB	73	3	x	1	2	1	5	x	3x1215x	9	0
Male-NLAB	74	4	x	1	2	1	5	x	4x1215x	10	0
Male-NLAB	75	5	x	1	2	1	5	x	5x1215x	11	0
Male-NLAB	76	1	x	1	2	0	1	x	1x1201x	28	0
Male-NLAB	77	2	x	1	2	0	1	x	2x1201x	30	0
Male-NLAB	78	3	x	1	2	0	1	x	3x1201x	33	0
Male-NLAB	79	4	x	1	2	0	1	x	4x1201x	36	0
Male-NLAB	80	5	x	1	2	0	1	x	5x1201x	39	0
Male-NLAB	81	1	x	1	2	0	2	x	1x1202x	22	0
Male-NLAB	82	2	x	1	2	0	2	x	2x1202x	24	0
Male-NLAB	83	3	x	1	2	0	2	x	3x1202x	26	0
Male-NLAB	84	4	x	1	2	0	2	x	4x1202x	29	0
Male-NLAB	85	5	x	1	2	0	2	x	5x1202x	31	0
Male-NLAB	86	1	x	1	2	0	3	x	1x1203x	18	0
Male-NLAB	87	2	x	1	2	0	3	x	2x1203x	19	0
Male-NLAB	88	3	x	1	2	0	3	x	3x1203x	21	0
Male-NLAB	89	4	x	1	2	0	3	x	4x1203x	23	0
Male-NLAB	90	5	x	1	2	0	3	x	5x1203x	25	0
Male-NLAB	91	1	x	1	2	0	4	x	1x1204x	14	0
Male-NLAB	92	2	x	1	2	0	4	x	2x1204x	15	0
Male-NLAB	93	3	x	1	2	0	4	x	3x1204x	16	0
Male-NLAB	94	4	x	1	2	0	4	x	4x1204x	18	0
Male-NLAB	95	5	x	1	2	0	4	x	5x1204x	20	0
Male-NLAB	96	1	x	1	2	0	5	x	1x1205x	11	0
Male-NLAB	97	2	x	1	2	0	5	x	2x1205x	12	0
Male-NLAB	98	3	x	1	2	0	5	x	3x1205x	13	0
Male-NLAB	99	4	x	1	2	0	5	x	4x1205x	14	0
Male-NLAB	100	5	x	1	2	0	5	x	5x1205x	16	0
Male-NLAB	101	1	x	1	3	1	1	x	1x1311x	15	0
Male-NLAB	102	2	x	1	3	1	1	x	2x1311x	17	0
Male-NLAB	103	3	x	1	3	1	1	x	3x1311x	19	0
Male-NLAB	104	4	x	1	3	1	1	x	4x1311x	21	0
Male-NLAB	105	5	x	1	3	1	1	x	5x1311x	23	0
Male-NLAB	106	1	x	1	3	1	2	x	1x1312x	12	0
Male-NLAB	107	2	x	1	3	1	2	x	2x1312x	13	0
Male-NLAB	108	3	x	1	3	1	2	x	3x1312x	14	0
Male-NLAB	109	4	x	1	3	1	2	x	4x1312x	16	0
Male-NLAB	110	5	x	1	3	1	2	x	5x1312x	18	0
Male-NLAB	111	1	x	1	3	1	3	x	1x1313x	9	0
